term	common	ctrl_t0_green_VS_ctrl_t0_red_FC	ctrl_t0_red_VS_ctrl_t0_blue_FC	ctrl_t1_green_VS_ctrl_t1_red_FC	ctrl_t1_red_VS_ctrl_t1_blue_FC	treatment_t0_green_VS_treatment_t0_red_FC	treatment_t0_red_VS_treatment_t0_blue_FC	treatment_t1_green_VS_treatment_t1_blue_FC	treatment_t1_green_VS_treatment_t1_red_FC	treatment_t1_red_VS_treatment_t1_blue_FC
leading edge of lamellipodium	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0371	1.0	1.0
low-density lipoprotein particle	{'n/a (just one condition)'}	1.0	0.0185	1.0	1.0	1.0	1.0	1.0	1.0	1.0
lysosomal lumen	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.02
lysosomal membrane	{'Slc15a3', 'Laptm5', 'Cd68'}	1.0	1.0	1.0	0.0206	1.0	1.0	2.7899999999999997e-09	0.0124	7.3099999999999975e-16
lysosome	{'Unc93b1', 'Cd68', 'Laptm5', 'Hck', 'Slc11a1'}	1.0	1.0	1.0	8.520000000000002e-07	1.76e-05	4.12e-08	7.35e-29	1e-09	2.9900000000000003e-40
macrophage migration inhibitory factor receptor complex	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0181	1.0	1.0	1.0	1.0
main axon	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0125	1.0	1.0	1.0	1.0
mast cell granule	{'Btk', 'Cd300a', 'Srgn', 'Lyn'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0174	0.0047
melanosome	{'No common gene'}	1.0	1.0	1.0	1.0	0.042	1.0	2.08e-08	1.0	2.37e-06
membrane	{'No common gene'}	5.77e-06	0.0003	1.0	9.29e-12	5.21e-22	3.83e-16	8.209999999999999e-05	3.6799999999999997e-22	8.559999999999998e-07
membrane protein complex	{'No common gene'}	1.0	4.54e-13	1.0	1.0	1.0	1.0	0.0039	1.0	8.960000000000002e-08
membrane raft	{'Itgb2', 'Nfam1', 'Hck', 'Tnfrsf1b'}	1.0	1.0	1.0	0.0071	0.0072	0.0024	2.7900000000000002e-08	2.8599999999999998e-08	3.48e-12
membrane-bounded organelle	{'No common gene'}	1.0	6.929999999999999e-08	1.0	1.0	0.042	1.0	4.9e-09	0.0008	2.84e-08
microtubule	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0018	1.0
microtubule cytoskeleton	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0212	1.0
microvillus	{'Lyz2'}	1.0	1.0	1.0	1.0	1.0	0.0401	0.00049	0.0047	0.0017
mitochondrial envelope	{'No common gene'}	0.0053	6.109999999999999e-37	1.0	1.0	0.0419	1.0	0.00011	1.0	1.0
mitochondrial inner membrane	{'No common gene'}	0.019	1.66e-37	1.0	1.0	1.0	1.0	8.51e-05	1.0	1.0
mitochondrial intermembrane space	{'n/a (just one condition)'}	1.0	1.16e-08	1.0	1.0	1.0	1.0	1.0	1.0	1.0
mitochondrial intermembrane space protein transporter complex	{'n/a (just one condition)'}	1.0	0.0033	1.0	1.0	1.0	1.0	1.0	1.0	1.0
mitochondrial large ribosomal subunit	{'Mrpl12', 'Mrpl15'}	0.0053	2.3899999999999998e-05	1.0	1.0	1.0	1.0	1.0	1.0	1.0
mitochondrial matrix	{'No common gene'}	0.0067	3.95e-09	1.0	1.0	1.0	1.0	0.0145	1.0	1.0
mitochondrial membrane	{'No common gene'}	0.0072	5.43e-34	1.0	1.0	0.042	1.0	0.0012	1.0	1.0
mitochondrial outer membrane	{'n/a (just one condition)'}	1.0	0.0255	1.0	1.0	1.0	1.0	1.0	1.0	1.0
mitochondrial outer membrane translocase complex	{'n/a (just one condition)'}	1.0	0.00049	1.0	1.0	1.0	1.0	1.0	1.0	1.0
mitochondrial protein complex	{'No common gene'}	0.0053	4.25e-41	1.0	1.0	1.0	1.0	3.17e-06	1.0	1.0
mitochondrial proton-transporting ATP synthase complex	{'n/a (just one condition)'}	1.0	0.0029	1.0	1.0	1.0	1.0	1.0	1.0	1.0
mitochondrial respirasome	{'Ndufa13', 'Cox7c', 'Ndufc1', 'Ndufa6', 'Ndufb5', 'Ndufs7'}	1.0	9.800000000000001e-26	1.0	1.0	1.0	1.0	1.57e-06	1.0	1.0
mitochondrial respiratory chain complex I	{'Ndufa13', 'Ndufa6', 'Ndufc1', 'Ndufb5', 'Ndufs7'}	1.0	2.8300000000000004e-23	1.0	1.0	1.0	1.0	2.48e-05	1.0	1.0
mitochondrial respiratory chain complex IV	{'Cox7c'}	1.0	0.027999999999999997	1.0	1.0	1.0	1.0	0.0107	1.0	1.0
mitochondrial ribosome	{'n/a (just one condition)'}	1.0	2.16e-07	1.0	1.0	1.0	1.0	1.0	1.0	1.0
mitochondrial small ribosomal subunit	{'Mrps12'}	1.0	0.0069	1.0	1.0	1.0	1.0	0.0321	1.0	1.0
mitochondrion	{'No common gene'}	0.00025	7.59e-42	1.0	1.0	0.0481	1.0	6.22e-06	1.0	1.0
multivesicular body	{'Steap3', 'Cd74', 'Atp13a2', 'H2-DMa'}	1.0	1.0	1.0	1.0	0.0027	1.0	1.0	1.0	0.0397
myofibril	{'Cacna1c', 'Ppp1r12b', 'Myl9', 'Ank2', 'Svil', 'Mef2c', 'Myh11', 'Myom1', 'Nexn', 'Synpo2', 'Dmd', 'Pdlim3', 'Ky', 'Fbxl22', 'Ppp1r12a', 'Sphkap', 'Slmap'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.19e-14	6.790000000000001e-07
myosin II complex	{'Myh11', 'Myom1', 'Myl9', 'Myh10'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.006	0.0073
myosin complex	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0029	1.0
myosin filament	{'Myh11', 'Myom1', 'Myh10'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.006	0.0483
neuromuscular junction	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0488	1.0
neuron projection	{'No common gene'}	1.0	1.0	1.0	1.0	0.0006	1.0	0.0016	7.5e-08	2.44e-05
neuronal cell body	{'No common gene'}	1.0	1.0	1.0	1.0	0.0009599999999999999	1.0	0.0115	7.77e-07	6.19e-05
node of Ranvier	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0302	1.0	1.0	1.0	1.0
nuclear outer membrane-endoplasmic reticulum membrane network	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00054	1.0	1.0
organelle	{'No common gene'}	1.0	1.32e-06	1.0	1.0	1.0	1.0	7.7e-08	0.0042	8.960000000000002e-08
organelle envelope	{'No common gene'}	0.0072	1.04e-28	1.0	1.0	0.0419	1.0	0.0095	1.0	1.0
organelle envelope lumen	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0419	1.0	1.0	1.0	1.0
organelle membrane	{'No common gene'}	1.0	1.0500000000000001e-10	1.0	1.0	1.0	1.0	0.0433	0.0017	5.26e-12
organelle subcompartment	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	1.55e-09	0.0006	4.879999999999999e-07
outer mitochondrial membrane protein complex	{'n/a (just one condition)'}	1.0	4.16e-05	1.0	1.0	1.0	1.0	1.0	1.0	1.0
oxidoreductase complex	{'Ndufa13', 'Ndufa6', 'Ndufc1', 'Ndufb5', 'Ndufs7'}	1.0	2.31e-19	1.0	1.0	1.0	1.0	0.0002	1.0	1.0
perinuclear endoplasmic reticulum	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0374	1.0
perinuclear region of cytoplasm	{'Abca1', 'Cybb', 'Lcp1', 'Tnfrsf1b'}	1.0	1.0	1.0	1.0	1.0	1.0	3.11e-05	0.0014	2.12e-07
phagocytic cup	{'Snx5', 'Arhgap25', 'Abl2', 'Anxa1', 'Lcp1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0232	1.0	8.88e-05
phagocytic vesicle	{'Slc11a1', 'Unc93b1', 'Cybb'}	1.0	1.0	1.0	0.0031	4.870000000000001e-05	0.0001	7.04e-06	1.25e-06	9.48e-10
phagocytic vesicle membrane	{'Slc11a1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0017	0.0336	3.45e-05
plasma lipoprotein particle	{'Apoc3', 'Gpihbp1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0076	0.0126	1.0
plasma membrane	{'No common gene'}	4.11e-07	0.0013	1.0	3.53e-09	2.4899999999999998e-23	4.18e-16	0.0454	6.329999999999999e-27	3.2100000000000004e-11
plasma membrane bounded cell projection	{'No common gene'}	1.0	1.0	1.0	1.0	0.0054	1.0	0.00054	0.0253	0.00023999999999999998
plasma membrane protein complex	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	0.023	0.0057	3.87e-05	0.0007700000000000001
plasma membrane raft	{'Hck', 'Itgb2'}	1.0	1.0	1.0	0.0217	0.0073	0.0054	0.0148	1.0	1.0
plasma membrane receptor complex	{'Syk', 'Itgb2'}	1.0	1.0	1.0	1.0	0.0141	0.0215	0.048	0.0014	2.34e-06
plasma membrane region	{'No common gene'}	1.0	1.0	1.0	1.0	0.0146	1.0	0.0183	0.00013000000000000002	0.0053
platelet alpha granule	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0098	1.0	1.0
podosome	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	4e-09	0.0126	4.34e-05
podosome core	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.006	1.0	1.0
polymeric cytoskeletal fiber	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00056	1.0
pore complex	{'n/a (just one condition)'}	1.0	0.0255	1.0	1.0	1.0	1.0	1.0	1.0	1.0
postsynapse	{'Camk2n1', 'Cacna1c', 'Pkp4', 'Ank2', 'Slc8a2', 'Mef2c', 'Itga8', 'Igsf9b', 'Dmd', 'Sspn', 'Kcnma1', 'Ptprz1', 'Myh10'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0011	0.00011
postsynaptic density	{'Camk2n1', 'Cacna1c', 'Pkp4', 'Ank2', 'Itga8', 'Dmd', 'Igsf9b'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0051	0.0037
postsynaptic membrane	{'Camk2n1', 'Cacna1c', 'Ank2', 'Dmd', 'Sspn', 'Kcnma1', 'Ptprz1', 'Igsf9b'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0212	0.0165
protein complex involved in cell adhesion	{'Itgb2', 'Itgax', 'Cd80', 'Itgam', 'Itga11'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0035	1.0	0.0001
protein-containing complex	{'n/a (just one condition)'}	1.0	1.78e-06	1.0	1.0	1.0	1.0	1.0	1.0	1.0
proton-transporting V-type ATPase complex	{'Atp6v0a1', 'Atp6v1c1', 'Atp6v1a', 'Atp6v1b2', 'Atp6v0c', 'Atp6v0d2'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0006	1.0	0.00018999999999999998
proton-transporting V-type ATPase, V0 domain	{'Atp6v0a1', 'Atp6v0c', 'Atp6v0d2'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0392	1.0	0.00055
proton-transporting V-type ATPase, V1 domain	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0035	1.0	1.0
proton-transporting two-sector ATPase complex	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0039
receptor complex	{'Syk', 'Itgb2'}	1.0	1.0	1.0	1.0	0.00082	0.0032	0.0074	2.48e-05	1.66e-07
recycling endosome	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.006
respirasome	{'Ndufa13', 'Uqcr11', 'Ndufc1', 'Cox7c', 'Ndufa6', 'Ndufb5', 'Ndufs7'}	1.0	5.23e-28	1.0	1.0	1.0	1.0	6.37e-07	1.0	1.0
respiratory chain complex	{'Ndufa13', 'Cox7c', 'Ndufc1', 'Ndufa6', 'Ndufb5', 'Ndufs7'}	1.0	2.5899999999999996e-24	1.0	1.0	1.0	1.0	1.57e-06	1.0	1.0
ribosomal subunit	{'n/a (just one condition)'}	1.0	6.91e-06	1.0	1.0	1.0	1.0	1.0	1.0	1.0
rough endoplasmic reticulum	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0104	1.0
rough endoplasmic reticulum lumen	{'Lyz1', 'Lyz2'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0035	0.0088	1.0
ruffle	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	8.329999999999999e-05	6.61e-05	0.00026000000000000003
ruffle membrane	{'Fgr', 'Plek', 'Lcp1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0371	0.0024	1.0
sarcolemma	{'Cacna1c', 'Ank2', 'Kcnd3', 'Dmd', 'Sgcg', 'Cacnb2', 'Dtna', 'Sspn', 'Slmap', 'Sntg2'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.46e-09	3.11e-06
sarcomere	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0307	5.5e-14	1.62e-06
sarcoplasm	{'Mef2c', 'Mrvi1'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0071	0.0073
sarcoplasmic reticulum	{'Mrvi1'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0131	0.0488
sarcoplasmic reticulum membrane	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0296	1.0
secondary lysosome	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.011000000000000001
secretory granule	{'Edn1', 'Ncf2', 'Rab8b', 'Moxd1', 'Lamp2', 'Hexa', 'Ctsl', 'Selp', 'Slc11a1', 'Col1a1', 'Clu', 'Thbs1', 'Cd38', 'Myo5a', 'Lyz2', 'F5', 'Adam8', 'Hexb', 'Lyz1', 'Tgfb1', 'Rab11fip5', 'Ctsh'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00021	1.0	0.0021
secretory granule membrane	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0232	1.0	1.0
secretory vesicle	{'Pi4k2a', 'Edn1', 'Ncf2', 'Rab8b', 'Moxd1', 'Lamp2', 'Hexa', 'Ctsl', 'Selp', 'Slc11a1', 'Col1a1', 'Clu', 'Thbs1', 'Cd38', 'Myo5a', 'Lyz2', 'F5', 'Adam8', 'Atp6v0a1', 'Sphk1', 'Hexb', 'Lyz1', 'Tgfb1', 'Rab11fip5', 'Ctsh'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0022	1.0	0.0041
side of membrane	{'No common gene'}	1.0	1.0	1.0	1.04e-06	2.21e-07	3.410000000000001e-09	1.2e-17	4.49e-18	5.33e-30
small ribosomal subunit	{'n/a (just one condition)'}	1.0	0.0078	1.0	1.0	1.0	1.0	1.0	1.0	1.0
smooth muscle contractile fiber	{'Myh11', 'Npnt'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0033	0.0483
somatodendritic compartment	{'No common gene'}	1.0	1.0	1.0	1.0	0.00016999999999999999	1.0	0.0096	7.690000000000001e-08	2.44e-05
spherical high-density lipoprotein particle	{'Apoa1'}	1.0	0.0073	1.0	1.0	1.0	1.0	0.0295	1.0	1.0
stress fiber	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0235	1.0699999999999999e-07	0.004
supramolecular fiber	{'Ppp1r12b', 'Myl9', 'Ank2', 'Ky', 'Slmap', 'Cacna1c', 'Bex4', 'Myh11', 'Myom1', 'Pdlim3', 'Npnt', 'Slc8a2', 'Mef2c', 'Nexn', 'Fgf13', 'Thsd4', 'Sphkap', 'Svil', 'Synpo2', 'Dmd', 'Fbxl22', 'Ppp1r12a'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.91e-13	0.0107
supramolecular polymer	{'Ppp1r12b', 'Myl9', 'Ank2', 'Ky', 'Col4a3', 'Slmap', 'Cacna1c', 'Bex4', 'Myh11', 'Myom1', 'Pdlim3', 'Npnt', 'Slc8a2', 'Col4a4', 'Mef2c', 'Nexn', 'Fgf13', 'Thsd4', 'Sphkap', 'Svil', 'Synpo2', 'Dmd', 'Fbxl22', 'Ppp1r12a'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.5e-14	0.0037
synapse	{'Dact1'}	1.0	1.0	1.0	1.0	0.0161	1.0	1.0	5.81e-06	5.83e-06
synaptic membrane	{'Camk2n1', 'Cacna1c', 'Ank2', 'Itga8', 'Dmd', 'Sspn', 'Kcnma1', 'Ptprz1', 'Igsf9b'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0158	0.0107
terminal cisterna	{'Rtn2'}	1.0	1.0	1.0	1.0	0.0278	1.0	1.0	1.0	0.0283
tertiary granule	{'Slc11a1', 'Adam8'}	1.0	1.0	1.0	0.009000000000000001	1.0	1.0	1.0	0.0088	1.0
tetraspanin-enriched microdomain	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0144
trans-Golgi network	{'Pi4k2a', 'Lamp2', 'Cpd', 'Rab7b', 'Ncf4', 'Rab29', 'Chst2', 'Rab31', 'Arap1', 'Igf2r'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0035	1.0	0.0137
trans-Golgi network transport vesicle	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0369
transmembrane transporter complex	{'Cacna1c', 'Kcnip4', 'Kcnd3', 'Kcnab1', 'Cacnb2', 'Kcnip1', 'Kcnma1', 'Atp1b2'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0296	0.0493
unconventional myosin complex	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.043
uropod	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0022
vacuolar lumen	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.011000000000000001
vacuolar membrane	{'Cd68', 'Laptm5', 'Slc15a3', 'Gpr137b', 'Atp6v0d2'}	1.0	1.0	1.0	0.012	1.0	1.0	3.88e-09	1.0	1.47e-15
vacuolar proton-transporting V-type ATPase complex	{'Atp6v1c1', 'Atp6v0a1', 'Atp6v0c', 'Atp6v0d2'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0275	1.0	0.0046
vacuolar proton-transporting V-type ATPase, V0 domain	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0316
vacuole	{'Unc93b1', 'Cd68', 'Laptm5', 'Hck', 'Slc11a1'}	1.0	1.0	1.0	1.06e-06	0.00016	7.599999999999999e-08	1.21e-26	4.0999999999999997e-08	9.57e-38
very-low-density lipoprotein particle	{'No common gene'}	0.0074	8.859999999999999e-05	0.00042	0.0029	1.0	0.001	0.012	1.0	0.0483
vesicle	{'Unc93b1', 'Fcgr2b', 'Abcg1', 'Lyz2', 'Cd68', 'Syk', 'Cybb', 'Hck', 'Slc11a1'}	1.0	1.0	1.0	1.0	0.00022999999999999998	0.0024	9.66e-21	1.07e-06	2.1100000000000004e-27
vesicle membrane	{'Pi4k2a', 'Dab2', 'Rab7b', 'Anxa4', 'Grb2', 'Myof', 'Rab31', 'Rab8b', 'Moxd1', 'Cemip', 'Lamp2', 'Tlr2', 'Atp13a2', 'Selp', 'Slc11a1', 'Anpep', 'Snx5', 'Cd38', 'Gpnmb', 'Anxa1', 'Adam8', 'Ap1s2', 'Atp6v0a1', 'Rab11fip5'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0021	1.0	0.00011
voltage-gated potassium channel complex	{'Kcnip4', 'Kcnd3', 'Kcnab1', 'Kcnip1', 'Kcnma1'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0075	0.0021
whole membrane	{'Tlr13', 'Itgb2', 'Tnfrsf1b', 'Cd68', 'Laptm5', 'Hck', 'Slc11a1', 'Slc15a3', 'Nfam1'}	1.0	1.0	1.0	0.0011	1.0	0.0059	1.85e-13	9.13e-08	6.809999999999998e-21
