ID	score	occurrence	all_genes	common_genes
Toxoplasmosis	7.21e-07	2	Casp8,Ccr5,Cd40,Ciita,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Il10ra,Il10rb,Irak4,Itga6,Lamb1,Myd88,Nfkbia,Nos2,Pik3cg,Pik3r5,Stat1,Stat3,Tgfb1,Tlr2,Tlr4,Tnf,Tnfrsf1a	Ciita,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Il10ra,Lamb1,Nos2
Fc gamma R-mediated phagocytosis	7.22e-07	4	Arpc1b,Arpc2,Arpc3,Arpc4,Arpc5,Cfl1,Dock2,Fcgr1,Gab2,Gsn,Hck,Inpp5d,Lyn,Ncf1,Pik3cb,Pik3cd,Pik3r3,Pip5k1c,Pla2g4a,Plcg2,Plpp2,Prkcd,Sphk1,Syk,Vav1,Vav2,Vav3,Was	Hck,Ncf1,Syk
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	7.83e-07	4	Actb,Actg1,Actn3,Cacna1c,Cacna1d,Cacna2d1,Cacna2d3,Cacnb2,Ctnna3,Dmd,Dsp,Itga11,Itga2,Itga5,Itga8,Itga9,Itgav,Itgb1,Itgb4,Lama2,Lef1,Lmna,Sgcd,Sgcg,Slc8a1	No common gene
Viral myocarditis	8.98e-07	3	Abl2,Actg1,Bid,Casp8,Ccnd1,Cd40,Cd55,Cd80,Cd86,Dmd,H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1,H2-M2,H2-M9,H2-Q1,H2-Q2,H2-Q8,H2-T23,H2-T24,Icam1,Itgb2,Lama2,Sgcd,Sgcg	H2-DMa,Icam1,Itgb2
Pathways in cancer	1.16e-06	5	Adcy3,Adcy4,Ar,Arnt2,Axin2,Bak1,Bcl2l11,Bid,Calml4,Camk2a,Camk2g,Casp8,Ccnd1,Cdk6,Cdkn1a,Col4a3,Col4a4,Col4a5,Col4a6,Csf1r,Csf2ra,Csf2rb,Csf2rb2,Csf3r,Ctnna3,Cxcl12,Cxcr4,Dll4,E2f1,Egfr,Egln3,F2r,Fgf1,Fgf18,Fgf7,Fgfr2,Fgfr3,Flt3,Flt4,Fn1,Foxo1,Fzd1,Fzd4,Fzd7,Gadd45a,Gadd45b,Gli1,Gna13,Gnb4,Gng8,Gngt2,Grb2,Hey1,Hey2,Hgf,Hhip,Hif1a,Hmox1,Ifngr2,Igf1,Il12rb2,Il13ra1,Il3ra,Il4ra,Il6,Il6ra,Il7r,Itga2,Itga6,Itgav,Itgb1,Jag2,Jak3,Lama2,Lamb1,Lef1,Lpar1,Lpar5,Mlh1,Mmp2,Nfe2l2,Nfkb2,Nfkbia,Nkx3-1,Nos2,Notch1,Notch4,Nras,Pdgfa,Pdgfb,Pdgfra,Pik3cb,Pik3cd,Pik3r3,Pim1,Plcb2,Plcb4,Plcg2,Pmaip1,Ppard,Ptch1,Ptger1,Ptger2,Ptgs2,Ralgds,Rara,Rasgrp2,Rasgrp3,Rock1,Runx1,Slc2a1,Spi1,Stat1,Stat3,Tgfb1,Tgfb2,Tgfb3,Tgfbr1,Tgfbr2,Txnrd1,Vegfd,Wnt16,Wnt2b,Wnt5a	No common gene
Antigen processing and presentation	1.25e-06	3	B2m,Calr,Cd74,Ciita,Ctsb,Ctsl,Ctss,H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1,H2-M2,H2-M9,H2-Q8,H2-T23,H2-T24,Ifi30,Lgmn,Tnf	No common gene
Amoebiasis	1.71e-06	5	Actn1,Cd14,Col1a1,Col1a2,Col3a1,Col4a3,Col4a4,Col4a5,Col4a6,Fn1,Gna15,Il1b,Il1r2,Il6,Itgam,Itgb2,Lama2,Lamb1,Nos2,Pik3cb,Pik3cd,Pik3r3,Plcb2,Rab7b,Serpinb6a,Serpinb6b,Serpinb9b,Tgfb1,Tgfb2,Tgfb3,Tlr2,Tlr4,Tnf,Vcl	No common gene
Measles	1.72e-06	2	Adar,Cblb,Ccnd1,Cd209a,Cdk6,Dok1,Il1a,Il1b,Il6,Irak4,Irf7,Irf9,Jak3,Myd88,Nfkbia,Oas1a,Oas1g,Oas2,Oas3,Pik3cb,Pik3cd,Stat1,Stat3,Tlr2,Tlr4,Tlr7,Tlr9,Tnfaip3	Il1b,Irf7,Irf9,Jak3,Oas1a,Oas2,Oas3,Tlr7,Tlr9
Hypertrophic cardiomyopathy (HCM)	2.85e-06	4	Ace,Actb,Actg1,Cacna1c,Cacna1d,Cacna2d1,Cacna2d3,Cacnb2,Dmd,Igf1,Il6,Itga11,Itga2,Itga4,Itga5,Itga6,Itga8,Itga9,Itgav,Itgb1,Itgb4,Lama2,Lmna,Prkaa2,Sgcd,Sgcg,Slc8a1,Tgfb1,Tgfb2,Tgfb3,Tnf,Tpm2,Tpm4	No common gene
Axon guidance	3.12e-06	5	Bmpr1b,Boc,Camk2a,Camk2g,Cfl1,Cxcl12,Cxcr4,Efna5,Enah,Epha1,Epha2,Epha3,Ephb2,Ephb3,Ephb6,Fes,Gdf7,Itgb1,Nfatc2,Ngef,Nras,Ntn4,Pak6,Pik3cb,Pik3cd,Plcg2,Plxna1,Plxna3,Plxna4,Plxnb1,Plxnb2,Plxnc1,Ptch1,Rnd1,Robo1,Rock1,Sema3a,Sema3b,Sema3c,Sema3d,Sema3g,Sema4d,Sema5a,Sema6b,Slit2,Ssh3,Unc5b,Unc5c,Unc5d,Wnt5a	No common gene
Dilated cardiomyopathy (DCM)	3.35e-06	3	Actb,Actg1,Cacna1c,Cacna1d,Cacna2d1,Cacnb2,Dmd,Itga11,Itga5,Itga8,Itga9,Itgav,Itgb1,Lama2,Lmna,Sgcd,Sgcg,Slc8a1,Tgfb1,Tgfb2,Tgfb3,Tpm2,Tpm4	No common gene
Intestinal immune network for IgA production	3.85e-06	2	Cd40,Cd80,Cd86,Cxcl12,Cxcr4,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Il6,Itga4,Tgfb1,Tnfsf13	H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1
Sphingolipid metabolism	3.85e-06	2	Acer3,Asah1,B4galt6,Cerk,Cers6,Degs1,Degs2,Galc,Gba,Gla,Glb1,Neu1,Plpp2,Sgms2,Sgpl1,Sphk1,Sptlc2	Acer3,Asah1,B4galt6,Cerk,Gba,Gla,Glb1,Plpp2,Sphk1
Graft-versus-host disease	3.85e-06	2	Cd80,Cd86,H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1,H2-M2,H2-M9,H2-Q8,H2-T23,H2-T24,Il1a,Il1b,Il6,Tnf	H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1,Il1b
Fluid shear stress and atherosclerosis	4.19e-06	3	Actb,Actg1,Ass1,Ccl12,Ccl2,Ctsl,Cyba,Edn1,Gpc1,Hmox1,Icam1,Il1a,Il1b,Il1r2,Itgav,Mmp2,Ncf1,Ncf2,Nfe2l2,Pdgfa,Pdgfb,Pik3cb,Pik3cd,Pik3r3,Plat,Sdc1,Sdc2,Sele,Src,Tnf,Tnfrsf1a,Txn1,Vcam1	Cyba,Mmp2,Sele,Vcam1
Jak-STAT signaling pathway	4.92e-06	4	Ccnd1,Cdkn1a,Cntfr,Crlf2,Csf2ra,Csf2rb,Csf2rb2,Csf3r,Grb2,Ifngr2,Il10ra,Il10rb,Il12rb2,Il13ra1,Il22ra2,Il3ra,Il4ra,Il6,Il6ra,Il7r,Irf9,Jak3,Lif,Mcl1,Osm,Osmr,Pdgfa,Pdgfb,Pik3cb,Pik3cd,Pik3r3,Pim1,Ptpn6,Socs3,Stat1,Stat3	Csf2rb,Csf2rb2,Il10ra
Other glycan degradation	5.700000000000001e-06	4	Fuca1,Fuca2,Gba,Glb1,Hexa,Hexb,Man2b1,Man2b2,Manba,Neu1	Hexb,Man2b1,Man2b2
Systemic lupus erythematosus	1.0300000000000001e-05	5	C1qa,C1qb,C1qc,C1ra,C1s1,C2,C3,C4b,C6,Cd40,Cd80,Cd86,Fcgr1,Fcgr4,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Hist2h2aa1,Tnf	C1qb,C1qc
Glycosaminoglycan degradation	1.17e-05	4	Galns,Glb1,Gns,Gusb,Hexa,Hexb,Hpse,Naglu,Sgsh	Hexb,Hpse,Naglu
HTLV-I infection	1.17e-05	2	Adcy3,Adcy4,Atf3,Calr,Ccnd1,Cd40,Cdkn1a,E2f1,Egr2,H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1,H2-M2,H2-M9,H2-Q8,H2-T23,H2-T24,Icam1,Il1r2,Il6,Itgb2,Jak3,Nfatc1,Nfatc2,Nfkb2,Nfkbia,Nras,Pdgfb,Pik3cb,Pik3cd,Spi1,Tgfb1,Tnf,Tnfrsf1a,Vcam1	Cdkn1a,H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1,Icam1,Il1r2,Itgb2,Jak3,Nfatc1,Nfatc2,Nfkb2,Pdgfb,Spi1
Th17 cell differentiation	1.9699999999999998e-05	2	Ahr,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Il1b,Il4ra,Il6,Il6ra,Jak3,Nfatc1,Nfatc2,Nfkbia,Nfkbie,Rara,Runx1,Stat1,Stat3,Tgfb1	H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Il1b,Il4ra,Il6ra,Jak3,Nfatc1,Nfatc2
Protein digestion and absorption	2.36e-05	6	Atp1b2,Col10a1,Col12a1,Col14a1,Col15a1,Col1a1,Col1a2,Col22a1,Col24a1,Col2a1,Col3a1,Col4a3,Col4a4,Col4a5,Col4a6,Col5a1,Col5a2,Col6a1,Col6a3,Col6a4,Col6a5,Col6a6,Eln,Kcnn4,Prcp,Slc1a5,Slc36a1,Slc3a2,Slc7a7,Slc7a8,Slc8a1,Slc8a2,Xpnpep2	No common gene
Human papillomavirus infection	2.6700000000000002e-05	5	Atp6v0a1,Axin2,Bak1,Casp8,Ccnd1,Cdk6,Cdkn1a,Chad,Col1a1,Col1a2,Col2a1,Col4a3,Col4a4,Col4a5,Col4a6,Col6a1,Col6a3,Col6a4,Col6a5,Col6a6,Creb3l1,Creb5,Dlg3,E2f1,Egfr,Eif4ebp1,Fn1,Foxo1,Fzd1,Fzd4,Fzd7,Grb2,H2-D1,H2-K1,H2-M2,H2-M9,H2-Q1,H2-Q2,H2-Q8,H2-T23,H2-T24,Hdac11,Hdac9,Hey1,Hey2,Ibsp,Irf9,Itga11,Itga2,Itga4,Itga5,Itga6,Itga8,Itga9,Itgav,Itgb1,Itgb4,Lama2,Lamb1,Lfng,Maml2,Notch1,Notch4,Nras,Oasl1,Oasl2,Pik3cb,Pik3cd,Pik3r3,Ptgs2,Rbpj,Reln,Slc9a3r1,Spp1,Stat1,Tcirg1,Thbs1,Thbs2,Tnf,Tnfrsf1a,Tnn,Vwf,Wnt16,Wnt2b,Wnt5a	No common gene
Inflammatory bowel disease (IBD)	3.0299999999999998e-05	3	H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Ifngr2,Il12rb2,Il1a,Il1b,Il4ra,Il6,Nfatc1,Stat1,Stat3,Tgfb1,Tgfb2,Tlr2,Tlr4,Tnf	No common gene
Type I diabetes mellitus	3.48e-05	2	Cd80,Cd86,H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1,H2-M2,H2-M9,H2-Q8,H2-T23,H2-T24,Il1a,Il1b,Tnf	H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1,Il1b
Platelet activation	3.79e-05	5	Actb,Actg1,Adcy3,Adcy4,Apbb1ip,Btk,Col1a1,Col1a2,Col3a1,F2r,Fcer1g,Fermt3,Gna13,Gucy1a3,Gucy1b3,Itga2,Itpr1,Itpr3,Lyn,Mylk,Mylk2,Mylk4,Pik3cb,Pik3cd,Pik3cg,Pik3r3,Pik3r5,Pla2g4a,Pla2g4e,Plcb2,Plcb4,Plcg2,Ppp1cb,Ppp1r12a,Ptgir,Rap1b,Rasgrp2,Rock1,Src,Syk,Tbxas1,Vwf	Syk
Allograft rejection	3.8799999999999994e-05	2	Cd40,Cd80,Cd86,H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1,H2-M2,H2-M9,H2-Q8,H2-T23,H2-T24,Tnf	H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1
Bacterial invasion of epithelial cells	4.7799999999999996e-05	2	Actb,Actg1,Arpc1b,Arpc2,Arpc3,Arpc4,Arpc5,Clta,Elmo1,Fn1,Hcls1,Itga5,Pik3cb,Pik3cd,Pik3r3,Rhog,Shc2,Src,Was	Actg1,Arpc1b,Arpc4,Arpc5,Elmo1,Fn1,Hcls1,Rhog,Shc2
Leukocyte transendothelial migration	4.95e-05	5	Actb,Actg1,Cdh5,Cxcl12,Cxcr4,Cyba,Cybb,Esam,Icam1,Itga4,Itgam,Itgb2,Mmp2,Msn,Ncf1,Ncf2,Ncf4,Pik3cb,Pik3cd,Pik3r3,Plcg2,Ptk2b,Rap1b,Rapgef3,Sipa1,Vav1,Vav2,Vav3,Vcam1	Cybb,Itgb2
Synaptic vesicle cycle	5.350000000000001e-05	2	Ap2s1,Atp6v0a1,Atp6v0b,Atp6v0c,Atp6v0d1,Atp6v0d2,Atp6v0e,Atp6v1a,Atp6v1b2,Atp6v1c1,Atp6v1e1,Clta,Nsf,Stx3,Tcirg1	Atp6v0a1,Atp6v0c,Atp6v0d2,Atp6v1a,Atp6v1b2,Atp6v1c1,Nsf,Tcirg1
Viral carcinogenesis	5.600000000000001e-05	2	Atp6v0d1,Atp6v0d2,Bak1,C3,Casp8,Ccnd1,Ccr5,Cdk6,Cdkn1a,Egr2,Grb2,H2-D1,H2-K1,H2-M2,H2-M9,H2-Q8,H2-T23,H2-T24,Hpn,Irf7,Irf9,Jak3,Lyn,Nfkb2,Nfkbia,Nras,Pik3cb,Pik3cd,Pmaip1,Stat3,Syk,Ywhah	C3,Cdkn1a,H2-D1,H2-K1,Irf7,Irf9,Jak3,Lyn,Nfkb2,Syk
Ferroptosis	6.500000000000001e-05	2	Acsl4,Cp,Cybb,Fth1,Ftl1,Hmox1,Lpcat3,Sat1,Slc11a2,Slc39a14,Slc3a2,Steap3,Trf	Cp,Cybb,Ftl1,Slc3a2
Collecting duct acid secretion	7.58e-05	2	Atp6v0a1,Atp6v0c,Atp6v0d1,Atp6v0d2,Atp6v0e,Atp6v1a,Atp6v1b2,Atp6v1c1,Atp6v1e1,Tcirg1	Atp6v0a1,Atp6v0c,Atp6v0d2,Atp6v1a,Atp6v1b2,Atp6v1c1,Tcirg1
TGF-beta signaling pathway	7.85e-05	4	Acvr1b,Bambi,Bmpr1a,Bmpr1b,Dcn,Gdf6,Gdf7,Id2,Id4,Inhba,Inhbb,Ltbp1,Nbl1,Rock1,Smad9,Tgfb1,Tgfb2,Tgfb3,Tgfbr1,Tgfbr2,Tgif1,Thbs1	No common gene
Acute myeloid leukemia	9.91e-05	4	Bcl2a1b,Bcl2a1d,Ccnd1,Cd14,Csf1r,Eif4ebp1,Fcgr1,Flt3,Grb2,Itgam,Nras,Pik3cb,Pik3cd,Pik3r3,Pim1,Ppard,Rara,Runx1,Spi1,Stat3	Fcgr1,Spi1
Cholesterol metabolism	0.0001	8	Abca1,Apoa1,Apoa2,Apoc1,Apoc3,Apoe,Ldlrap1,Lipa,Lipg,Lrp1,Lrpap1,Mylip,Nceh1,Npc1,Npc2,Pltp,Scarb1,Soat1	No common gene
Phospholipase D signaling pathway	0.00013000000000000002	4	Adcy3,Adcy4,Agpat4,Cyth1,Cyth4,Dnm1,Egfr,F2r,Fcer1g,Gab2,Gna13,Grb2,Lpar1,Lpar5,Nras,Pdgfa,Pdgfb,Pdgfc,Pdgfra,Pik3cb,Pik3cd,Pik3cg,Pik3r3,Pik3r5,Pip5k1c,Pla2g4a,Plcb2,Plcg2,Plpp2,Ptk2b,Ralgds,Rapgef3,Shc2,Sphk1,Syk	Cyth4,Syk
African trypanosomiasis	0.00018	2	F2rl1,Icam1,Il1b,Il6,Myd88,Plcb2,Sele,Tlr9,Tnf,Vcam1	Icam1,Sele,Tlr9,Vcam1
Chronic myeloid leukemia	0.00018999999999999998	2	Bak1,Ccnd1,Cdk6,Cdkn1a,E2f1,Gab2,Gadd45a,Gadd45b,Grb2,Nras,Pik3cb,Pik3cd,Pik3r3,Runx1,Shc2,Tgfb1,Tgfb2,Tgfbr1	Cdk6,E2f1,Gadd45a,Grb2,Nras,Runx1,Shc2,Tgfb1
Hepatitis B	0.00026000000000000003	2	Atp6ap1,Casp8,Ccnd1,Cdk6,Cdkn1a,Creb3l1,E2f1,Egr2,Grb2,Il6,Irf7,Myd88,Nfatc1,Nfatc2,Nras,Pik3cb,Pik3cd,Pik3r3,Ptk2b,Src,Stat3,Tgfb1,Tgfb2,Tgfbr1,Ticam2,Tlr2,Tlr4,Tnf	Cdk6,E2f1,Egr2,Grb2,Nras,Tgfb1,Tlr2,Tlr4
Endocytosis	0.00029	2	Ap2s1,Arap1,Arfgap3,Arpc1b,Arpc2,Arpc3,Arpc4,Arpc5,Arrb1,Arrb2,Capzb,Cblb,Ccr5,Clta,Cxcr4,Cyth1,Cyth4,Dab2,E430025E21Rik,Ehd4,Folr2,H2-D1,H2-K1,H2-M2,H2-T23,H2-T24,Igf2r,Ldlrap1,Mvb12b,Pip5k1c,Rab11fip5,Rab31,Smap2,Snx1,Snx5,Src,Tgfbr1,Was	Arap1,Arpc1b,Arpc4,Arpc5,Arrb2,Ccr5,Cyth4,Dab2,Ehd4,Folr2,Igf2r,Rab11fip5,Rab31,Snx1,Snx5
Fc epsilon RI signaling pathway	0.00029	3	Alox5ap,Btk,Fcer1g,Gab2,Grb2,Inpp5d,Lyn,Nras,Pik3cb,Pik3cd,Pik3r3,Pla2g4a,Plcg2,Syk,Tnf,Vav1,Vav2,Vav3	Alox5ap,Fcer1g,Inpp5d,Syk
Transcriptional misregulation in cancer	0.0003	3	Arnt2,Bak1,Bcl2a1b,Bcl2a1d,Cd14,Cd40,Cd86,Cdkn1a,Cebpb,Csf1r,Etv5,Fcgr1,Flt1,Flt3,Foxo1,Gadd45a,Gadd45b,Hhex,Id2,Igf1,Igfbp3,Il1r2,Il6,Itgam,Mmp3,Nfkbiz,Nupr1,Pdgfa,Plau,Rara,Runx1,Runx2,Spi1,Spint1,Wnt16	Cd14,Csf1r,Fcgr1,Itgam,Spi1
Asthma	0.0003	2	Cd40,Fcer1g,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Tnf	Fcer1g,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1
Autoimmune thyroid disease	0.00032	2	Cd40,Cd80,Cd86,H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1,H2-M2,H2-M9,H2-Q8,H2-T23,H2-T24,Tg	H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1
Epstein-Barr virus infection	0.00033	2	Cd38,Cd40,Cd44,Cdkn1a,Fgr,H2-D1,H2-K1,H2-M2,H2-M9,H2-Q8,H2-T23,H2-T24,Icam1,Il10ra,Il10rb,Jak3,Lyn,Nfkb2,Nfkbia,Nfkbie,Pik3cb,Pik3cd,Plcg2,Spi1,Stat3,Syk,Tnfaip3,Ywhah	Cd38,Cdkn1a,Fgr,H2-D1,H2-K1,Icam1,Il10ra,Jak3,Lyn,Nfkb2,Plcg2,Spi1,Syk
Rap1 signaling pathway	0.00036	5	Actb,Actg1,Adcy3,Adcy4,Adora2a,Angpt1,Apbb1ip,Arap3,Calml4,Csf1r,Egfr,Epha2,F2r,Fgf18,Fgf7,Fgfr3,Flt1,Flt4,Fyb,Hgf,Igf1,Itgam,Itgb2,Lpar1,Lpar5,Ngf,Nras,Pdgfa,Pdgfb,Pdgfc,Pdgfra,Pik3cb,Pik3cd,Pik3r3,Plcb2,Plce1,Ralgds,Rap1b,Rapgef3,Rasgrp3,Sipa1,Sipa1l2,Src,Thbs1,Tiam1,Vegfd	Csf1r
Glioma	0.00037	2	Bak1,Ccnd1,Cdk6,Cdkn1a,E2f1,Gadd45a,Gadd45b,Grb2,Igf1,Nras,Pdgfa,Pdgfb,Pik3cb,Pik3cd,Pik3r3,Plcg2,Shc2	Cdk6,E2f1,Gadd45a,Grb2,Nras,Shc2
MicroRNAs in cancer	0.00037999999999999997	2	Bak1,Bcl2l11,Ccnd1,Cd44,Cdk6,Cdkn1a,Dnmt3a,E2f1,Grb2,Hmox1,Itga5,Mcl1,Nras,Pdgfa,Pdgfb,Plau,Plcg2,Ptgs2,St14,Stat3,Tgfb2,Thbs1,Tnn,Zeb2	Bcl2l11,Cd44,Cdk6,Dnmt3a,E2f1,Grb2,Hmox1,Nras,Plau,Ptgs2,Thbs1,Tnn,Zeb2
IL-17 signaling pathway	0.00058	2	Casp8,Ccl12,Ccl2,Ccl7,Cebpb,Cxcl1,Cxcl2,Cxcl5,Il1b,Il6,Lcn2,Mapk6,Mmp13,Mmp3,Nfkbia,Ptgs2,S100a8,S100a9,Tnf,Tnfaip3	Il1b,Lcn2,Mmp13
HIF-1 signaling pathway	0.00063	4	Angpt1,Camk2a,Cdkn1a,Cybb,Edn1,Egfr,Egln3,Eif4ebp1,Flt1,Hif1a,Hk3,Hmox1,Ifngr2,Igf1,Il6,Il6ra,Mknk1,Nos2,Pik3cb,Pik3cd,Pik3r3,Plcg2,Serpine1,Slc2a1,Stat3,Timp1,Tlr4,Trf	Cybb
Non-small cell lung cancer	0.00075	1	Bak1,Ccnd1,Cdk6,Cdkn1a,E2f1,Gadd45a,Grb2,Jak3,Nras,Pik3cb,Pik3cd,Plcg2,Stat3	n/a (just one condition)
Hedgehog signaling pathway	0.00081	2	Arrb1,Boc,Cdon,Gas1,Hhip,Ptch1	Boc,Cdon,Gas1,Ptch1
Relaxin signaling pathway	0.00091	6	Acta2,Arrb1,Arrb2,Col1a1,Col1a2,Col3a1,Col4a3,Col4a4,Col4a5,Col4a6,Creb3l1,Creb5,Edn1,Egfr,Gna15,Gnb4,Gng8,Gngt2,Grb2,Mmp13,Mmp2,Nos1,Nos2,Nras,Pik3cb,Pik3cd,Pik3r3,Plcb2,Shc2,Src,Tgfb1,Tgfbr1,Tgfbr2,Vegfd	No common gene
Amino sugar and nucleotide sugar metabolism	0.00095	2	Amdhd2,Gnpda1,Hexa,Hexb,Hk3,Nagk,Nans,Npl,Pgm1,Renbp,Uap1l1	Gnpda1,Hexa,Hexb,Hk3,Nagk,Nans,Npl,Renbp,Uap1l1
EGFR tyrosine kinase inhibitor resistance	0.0013	4	Bcl2l11,Egfr,Foxo3,Grb2,Hgf,Igf1,Il6,Il6ra,Nras,Pdgfa,Pdgfb,Pdgfc,Pdgfra,Pik3cb,Pik3cd,Pik3r3,Plcg2,Shc2,Src,Stat3	No common gene
Melanoma	0.0015	2	Bak1,Ccnd1,Cdk6,Cdkn1a,E2f1,Fgf7,Gadd45a,Gadd45b,Hgf,Igf1,Nras,Pdgfa,Pdgfb,Pdgfc,Pik3cb,Pik3cd,Pik3r3	Cdk6,E2f1,Gadd45a,Hgf,Nras,Pdgfc
Mineral absorption	0.0016	1	Atox1,Atp2b1,Fth1,Ftl1,Hmox1,Mt1,Mt2,Slc11a2,Trf,Vdr	n/a (just one condition)
Glycosphingolipid biosynthesis - ganglio series	0.0019	2	B4galnt1,Glb1,Hexa,Hexb,St3gal1,St6galnac4	Glb1,Hexa,Hexb,St6galnac4
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0.002	2	Chpf2,Chst11,Chsy1,Chsy3,Dse,Xylt1,Xylt2	Chpf2,Chst11,Dse,Xylt2
p53 signaling pathway	0.0025	2	Bid,Casp8,Ccnd1,Cd82,Cdk6,Cdkn1a,Gadd45a,Gadd45b,Igf1,Pmaip1,Serpine1,Shisa5,Steap3,Thbs1,Zmat3	Bid,Cd82,Cdk6,Gadd45a,Steap3,Thbs1
Hepatitis C	0.0025	2	Cdkn1a,Grb2,Ifit1,Irf7,Irf9,Nfkbia,Nr1h3,Nras,Oas1a,Oas1g,Oas2,Oas3,Pik3cb,Pik3cd,Scarb1,Socs3,Stat1,Stat3,Tnf,Tnfrsf1a	Cdkn1a,Irf7,Irf9,Nr1h3,Oas1a,Oas2,Oas3,Scarb1,Socs3
Sphingolipid signaling pathway	0.0029	2	Asah1,Bid,Cers6,Ctsd,Degs1,Degs2,Fcer1g,Gab2,Gna13,Nras,Pik3cb,Pik3cd,Pik3r3,Plcb2,S1pr2,Sgms2,Sgpl1,Sphk1,Sptlc2,Tnf,Tnfrsf1a	Asah1,Bid,Ctsd,Fcer1g,Nras,S1pr2,Sphk1
Cardiac muscle contraction	0.003	3	Atp1b2,Cacna1c,Cacna1d,Cacna2d1,Cacnb2,Cacng6,Cox6a1,Cox6c,Cox7a1,Cox7c,Cox8a,Cox8b,Slc8a1,Uqcr11	No common gene
Salivary secretion	0.0032	2	Adcy3,Adcy4,Adra1d,Aqp5,Atp1b2,Atp2b1,Atp2b4,Bst1,Cd38,Gucy1a3,Gucy1b3,Itpr1,Itpr3,Kcnma1,Kcnn4,Lyz1,Lyz2,Nos1,Plcb2,Plcb4,Prkg1	No common gene
Ribosome	0.0039	2	Mrpl12,Mrpl15,Mrpl20,Mrpl34,Mrps12,Mrps7,Rps19	Mrpl12,Mrpl15
Circadian entrainment	0.0041	2	Cacna1c,Cacna1d,Cacna1g,Camk2g,Gm7694,Gnb4,Gng8,Gucy1a3,Gucy1b3,Itpr1,Plcb4,Prkg1	Cacna1c,Gng8,Gucy1a3,Gucy1b3
Small cell lung cancer	0.0042	1	Bak1,Ccnd1,Cdk6,Cdkn1a,E2f1,Fn1,Gadd45a,Itga2,Itga6,Lamb1,Nos2,Pik3cb,Pik3cd,Ptgs2	n/a (just one condition)
ABC transporters	0.0055	5	Abca1,Abca6,Abca7,Abca8a,Abca8b,Abca9,Abcc3,Abcc4,Abcg1	No common gene
Colorectal cancer	0.0056	2	Bak1,Bcl2l11,Ccnd1,Cdkn1a,Ereg,Gadd45a,Gadd45b,Grb2,Mlh1,Nras,Pik3cb,Pik3cd,Pik3r3,Pmaip1,Ralgds,Tgfb1,Tgfb2,Tgfbr1	Bcl2l11,Gadd45a,Grb2,Nras,Tgfb1
Prion diseases	0.0059	3	C1qa,C1qb,C1qc,C6,Il1a,Il1b,Il6,Notch1	C1qa,C1qb,C1qc
Neurotrophin signaling pathway	0.0063	1	Arhgdia,Arhgdib,Grb2,Irak4,Matk,Nfkbie,Ngf,Nras,Pik3cb,Pik3cd,Plcg2,Psen2,Rap1b,Rps6ka1,Rps6ka2,Shc2	n/a (just one condition)
Mucin type O-glycan biosynthesis	0.0063	2	B4galt5,Galnt10,Galnt12,Galnt6,Galnt7,Gcnt1,Gcnt4,St3gal1	B4galt5,Galnt12,Galnt6,Galnt7,Gcnt4
Ras signaling pathway	0.0064	3	Abl2,Calml4,Csf1r,Egfr,Epha2,Fgfr3,Flt1,Flt3,Flt4,Gngt2,Grb2,Hgf,Igf1,Ksr1,Ngf,Nras,Pdgfb,Pdgfc,Pdgfra,Pik3cb,Pik3cd,Pla1a,Plce1,Plcg2,Ralgds,Rap1b,Rasa3,Rasa4,Rasgrp3,Rgl1,Rin1,Shc2,Tiam1,Vegfd	Csf1r
