term	common	ctrl_t0_green_VS_ctrl_t0_red_FC	ctrl_t0_red_VS_ctrl_t0_blue_FC	ctrl_t1_green_VS_ctrl_t1_red_FC	ctrl_t1_red_VS_ctrl_t1_blue_FC	treatment_t0_green_VS_treatment_t0_red_FC	treatment_t0_red_VS_treatment_t0_blue_FC	treatment_t1_green_VS_treatment_t1_blue_FC	treatment_t1_green_VS_treatment_t1_red_FC	treatment_t1_red_VS_treatment_t1_blue_FC
cellular response to vascular endothelial growth factor stimulus	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0018	1.0
cellular response to virus	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.05
cellular response to vitamin	{'Folr2', 'Col1a1', 'Sfrp1'}	1.0	1.0	1.0	1.0	1.0	0.0182	0.0034	1.0	0.0135
cellular response to vitamin D	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0446
cellular response to xenobiotic stimulus	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0257	1.0
cellular response to zinc ion	{'Hvcn1', 'Mt2', 'Mt1'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0032	0.0373
cellular senescence	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0428	1.0	1.0
cellular transition metal ion homeostasis	{'Ttc7', 'Mt1', 'Lcn2', 'Ftl1', 'Slc11a1', 'Mt2', 'Cp'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0121	6.08e-05
cellular zinc ion homeostasis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0446
central nervous system development	{'No common gene'}	1.0	1.0	1.0	1.0	0.00044	1.0	0.0023	0.00055	0.0128
central nervous system neuron development	{'Slit2', 'Slc4a10', 'Ephb2', 'Plxna4'}	0.0397	0.0078	1.0	1.0	0.0015	1.0	1.0	1.0	1.0
central nervous system neuron differentiation	{'Slit2', 'Slc4a10', 'Ephb2', 'Plxna4', 'Csf1r'}	0.0122	0.0308	1.0	1.0	0.00029	1.0	1.0	1.0	1.0
central nervous system projection neuron axonogenesis	{'No common gene'}	0.0152	0.0017	1.0	1.0	0.00058	0.0287	0.0322	1.0	1.0
ceramide biosynthetic process	{'Samd8', 'P2rx7', 'Gba', 'B4galt6'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0352	1.0	0.0175
ceramide catabolic process	{'Gba', 'Naga', 'Hexa', 'Hexb', 'Gm2a', 'Gla'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00075	1.0	0.00011
ceramide metabolic process	{'Gba', 'Cln8', 'Naga', 'P2rx7', 'Hexa', 'Pla2g15', 'Hexb', 'Gla', 'Gm2a', 'Cerk', 'B4galt6', 'Acer3', 'Samd8'}	1.0	1.0	1.0	1.0	1.0	1.0	9.51e-06	1.0	1.4e-07
ceramide phosphoethanolamine biosynthetic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0396	1.0	1.0
cerebral cortex cell migration	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0096	1.0	1.0	1.0	1.0
cerebral cortex development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0277	1.0	1.0	1.0	1.0
cerebral cortex tangential migration	{'Slit2', 'Reln'}	0.0291	1.0	1.0	1.0	0.0151	1.0	1.0	1.0	1.0
chaperone cofactor-dependent protein refolding	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.008	1.0
chaperone-mediated protein complex assembly	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0475	1.0	1.0	1.0	1.0
chaperone-mediated protein folding	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0475	1.0	1.0	1.0	1.0
chaperone-mediated protein transport	{'n/a (just one condition)'}	1.0	0.0263	1.0	1.0	1.0	1.0	1.0	1.0	1.0
chemical homeostasis	{'No common gene'}	1.0	0.0242	1.0	1.0	0.0149	0.0032	0.00044	4.6399999999999996e-05	1e-10
chemical synaptic transmission	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0257
chemokine-mediated signaling pathway	{'Gpr35'}	1.0	1.0	1.0	0.0351	1.0	0.0117	0.0045	0.0094	3.9e-09
chemorepulsion involved in postnatal olfactory bulb interneuron migration	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0179	1.0	1.0	1.0	1.0
chemotaxis	{'No common gene'}	2.9999999999999997e-05	0.0019	1.0	0.00022	2.0099999999999997e-12	2.8599999999999998e-08	9.690000000000001e-11	1.46e-10	0.0295
cholesterol efflux	{'No common gene'}	0.0495	0.0015	0.001	0.0071	1.0	0.0059	1.0	0.0214	0.0246
cholesterol homeostasis	{'No common gene'}	1.0	0.006	1.0	1.0	1.0	0.0208	1.0	0.0055	0.0146
cholesterol import	{'n/a (just one condition)'}	1.0	0.0218	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cholesterol metabolic process	{'No common gene'}	1.0	1.0	0.0052	0.0328	1.0	0.0291	1.0	1.0	0.0169
cholesterol transport	{'No common gene'}	1.0	0.0012	1.0	1.0	1.0	1.0	1.0	0.0333	0.0151
chondrocyte development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	0.0235	1.0	1.0	1.0
chondrocyte differentiation	{'No common gene'}	1.0	1.0	1.0	1.0	0.0192	0.0107	0.0299	9.96e-05	0.0092
chondrocyte proliferation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0423	1.0	1.0
chondroitin sulfate biosynthetic process	{'Dse', 'Xylt2', 'Chst11'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0153	1.0	0.0373
chondroitin sulfate metabolic process	{'Dse'}	1.0	1.0	1.0	1.0	0.018000000000000002	1.0	0.0067	1.0	1.0
chondroitin sulfate proteoglycan biosynthetic process	{'Dse', 'Xylt2', 'Chst11'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0097	1.0	0.0289
chondroitin sulfate proteoglycan metabolic process	{'Dse', 'Mamdc2', 'Xylt2', 'Chst11'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0024	1.0	0.0359
chordate embryonic development	{'No common gene'}	0.0075	1.0	1.0	1.0	0.0276	1.0	0.0082	0.0384	0.0059
chylomicron remnant clearance	{'Apoe', 'Apoc1'}	0.0207	0.0172	0.00026000000000000003	0.0018	0.0475	0.0022	1.0	1.0	1.0
ciliary neurotrophic factor-mediated signaling pathway	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0446	1.0
circulatory system development	{'No common gene'}	2.5299999999999998e-08	0.00033	1.0	1.0	1.33e-06	0.00033	1.56e-07	2.47e-06	9.92e-07
circulatory system process	{'Ptafr', 'Tbxas1', 'Mmp2', 'Anpep', 'Cyba', 'Scn1b', 'C3ar1'}	1.0	1.0	1.0	1.0	1.0	0.0334	0.0005200000000000001	1.0	0.00011
clustering of voltage-gated sodium channels	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0042	1.0	1.0	1.0	1.0
coenzyme biosynthetic process	{'n/a (just one condition)'}	1.0	0.0347	1.0	1.0	1.0	1.0	1.0	1.0	1.0
coenzyme catabolic process	{'Cyp4f18', 'Ncf2'}	1.0	1.0	1.0	0.0226	1.0	1.0	1.0	0.0309	1.0
coenzyme metabolic process	{'n/a (just one condition)'}	1.0	0.0111	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cofactor biosynthetic process	{'n/a (just one condition)'}	1.0	0.0263	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cofactor catabolic process	{'Ncf2', 'Hmox1'}	1.0	1.0	1.0	0.0124	1.0	1.0	0.0381	1.0	0.0197
cofactor metabolic process	{'n/a (just one condition)'}	1.0	0.0037	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cofactor transport	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.046
cognition	{'Egr2', 'Lgmn', 'Abl2', 'Man2b1', 'Tlr2', 'Rcan1', 'Il1rn', 'Cx3cr1', 'Actr2', 'Cln8', 'Ptchd1', 'Pirb', 'Ap1s2', 'Gatm', 'Ngf', 'Ptgs2', 'Gm2a', 'Gpr88', 'Pde1b'}	1.0	1.0	1.0	1.0	1.0	1.0	0.002	1.0	0.0056
collagen catabolic process	{'Mmp2', 'Ctsk'}	0.0101	0.001	1.0	1.0	0.0021	0.0199	0.00014	1.0	0.00022
collagen fibril organization	{'Loxl2'}	5.45e-06	0.00063	1.0	1.0	7.46e-05	2.6899999999999997e-05	1.8899999999999999e-07	1.0	0.00014
collagen metabolic process	{'Col1a1', 'Mmp2', 'Ctsk'}	0.0051	1.0	1.0	1.0	0.0005099999999999999	0.0129	1.8899999999999999e-07	1.0	0.00014
collagen-activated signaling pathway	{'Col1a1', 'Itga11'}	0.0357	1.0	1.0	1.0	0.0027	0.0059	0.0153	1.0	0.0088
collagen-activated tyrosine kinase receptor signaling pathway	{'Col1a1', 'Syk'}	1.0	1.0	1.0	1.0	1.0	0.0368	0.0423	1.0	1.0
commissural neuron axon guidance	{'n/a (just one condition)'}	0.0397	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
compartment pattern specification	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0352	1.0
complement activation	{'No common gene'}	6.790000000000001e-05	8.02e-05	1.0	0.0011	1.36e-07	2.73e-06	1.0	0.00016999999999999999	0.0021
complement activation, alternative pathway	{'No common gene'}	0.0291	0.0308	1.0	1.0	1.0	0.040999999999999995	1.0	0.0165	0.0246
complement activation, classical pathway	{'No common gene'}	0.0025	0.0025	1.0	0.0066	1.67e-05	8.92e-05	1.0	0.0085	0.0175
connective tissue development	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	7.52e-06	5.8399999999999997e-05	0.0408
connective tissue replacement involved in inflammatory response wound healing	{'Timp1', 'F2r', 'Il1a'}	1.0	1.0	1.0	1.0	1.0	1.0	0.002	1.0	0.0309
convergent extension involved in axis elongation	{'n/a (just one condition)'}	0.0212	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
copper ion transport	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0246
coronary vasculature development	{'No common gene'}	1.0	1.0	1.0	1.0	0.006999999999999999	1.0	1.0	0.012	1.0
coronary vasculature morphogenesis	{'No common gene'}	1.0	1.0	1.0	1.0	0.0276	1.0	1.0	0.0397	1.0
corticospinal neuron axon guidance	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0179	1.0	1.0	1.0	1.0
corticospinal tract morphogenesis	{'Cdh11'}	1.0	0.027000000000000003	1.0	1.0	0.0122	0.0368	0.0423	1.0	1.0
courtship behavior	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0084
cranial nerve development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0277	1.0	1.0	1.0	1.0
cranial nerve morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0276	1.0	1.0	1.0	1.0
cytochrome complex assembly	{'n/a (just one condition)'}	1.0	0.0272	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cytokine metabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0289
cytokine production	{'Slc11a1'}	1.0	1.0	1.0	1.0	0.0464	0.0374	0.001	5.88e-07	5.1e-12
cytokine secretion	{'Abca1', 'Nos2', 'Lyn'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0071	4.94e-06
cytokine secretion involved in immune response	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0219
cytokine-mediated signaling pathway	{'No common gene'}	1.0	0.0226	1.0	4.77e-07	0.00016	7.98e-06	4.04e-09	4.59e-15	1.31e-21
cytoskeleton organization	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00022	4.34e-07	0.00066
cytosolic calcium ion transport	{'Ccl3', 'Slc8b1', 'P2rx7', 'F2r', 'Ccdc109b', 'Htr2b', 'Tpcn2', 'Ccr5'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0045	1.0	0.0073
decidualization	{'Lif', 'Ctsl', 'Ptgs2', 'Ctsb'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0257	1.0	0.0246
defense response	{'Fgr', 'Unc93b1', 'Itgb2', 'C1qb', 'C1qc', 'Tnfrsf1b', 'Myo1f', 'Lyz2', 'Cybb', 'Hck', 'Slc11a1', 'Cotl1'}	1.0	1.0	1.0	6.4e-17	3.7300000000000005e-12	9.93e-17	1.7399999999999994e-27	1.4499999999999999e-36	5.559999999999996e-67
defense response to Gram-negative bacterium	{'Slc11a1', 'Lyz2'}	1.0	1.0	1.0	1.0	1.0	0.011000000000000001	0.0321	0.0288	1.0
defense response to Gram-positive bacterium	{'Fgr', 'Hck', 'Lyz2', 'Myo1f'}	1.0	1.0	1.0	0.0098	0.0013	0.0013	0.0182	0.00016	6.45e-07
defense response to bacterium	{'Fgr', 'Lyz2', 'Myo1f', 'Hck', 'Slc11a1'}	1.0	1.0	1.0	0.0021	0.0034	0.0004	0.00081	5.98e-09	2.8399999999999997e-11
defense response to fungus	{'n/a (just one condition)'}	1.0	1.0	1.0	0.0493	1.0	1.0	1.0	1.0	1.0
defense response to other organism	{'Fgr', 'Unc93b1', 'C1qb', 'C1qc', 'Lyz2', 'Myo1f', 'Cybb', 'Hck', 'Slc11a1', 'Cotl1'}	1.0	1.0	1.0	5.18e-14	7.2e-08	8.859999999999999e-13	1.9100000000000007e-15	4.43e-30	1.719999999999999e-49
defense response to protozoan	{'Il4ra', 'Slc11a1', 'Bcl3', 'Irf8', 'Cd37'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0054	0.0006799999999999999
defense response to virus	{'Unc93b1', 'Irf5', 'Itgax'}	1.0	1.0	1.0	0.0464	1.0	1.0	1.0	2.67e-09	4.24e-09
dendrite development	{'Dact1'}	0.0203	1.0	1.0	1.0	0.0019	1.0	1.0	0.0037	1.0
dendrite morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0057	1.0	1.0	1.0	1.0
dendritic cell differentiation	{'Spi1', 'Pirb'}	1.0	1.0	1.0	0.0081	1.0	0.0082	1.0	0.0112	0.00067
dendritic cell migration	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0352	1.0
dentate gyrus development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0419	1.0	1.0	1.0	1.0
dentinogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0072	1.0	1.0
detection of bacterial lipopeptide	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0142
detection of bacterial lipoprotein	{'Ssc5d', 'Tlr2'}	1.0	1.0	1.0	1.0	0.0338	0.0149	1.0	1.0	0.0033
detection of bacterium	{'Naip5', 'Ssc5d', 'Tlr2', 'Naip2'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0305	1.0	3.53e-05
detection of external biotic stimulus	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00082	0.0155	1.96e-07
detection of lipopolysaccharide	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0219
detection of mechanical stimulus involved in sensory perception	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0419
detection of mechanical stimulus involved in sensory perception of pain	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0335
detection of molecule of bacterial origin	{'No common gene'}	1.0	1.0	1.0	1.0	0.018000000000000002	0.0049	0.0021	0.0194	3.21e-05
detoxification of copper ion	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0352	1.0
development of primary female sexual characteristics	{'Mmp14', 'Mmp2', 'Sfrp1'}	1.0	1.0	1.0	1.0	0.0162	1.0	0.005	1.0	1.0
development of primary sexual characteristics	{'Mmp14', 'Mmp2', 'Sfrp1'}	1.0	1.0	1.0	1.0	0.0396	1.0	0.0017	1.0	1.0
developmental cell growth	{'No common gene'}	1.0	1.0	1.0	1.0	0.0265	1.0	1.0	0.0047	1.0
developmental growth	{'No common gene'}	0.0068	0.004	1.0	1.0	0.0068	1.0	0.0024	0.0038	0.0147
developmental growth involved in morphogenesis	{'No common gene'}	0.0302	1.0	1.0	1.0	0.004	1.0	0.0066	0.0074	0.0046
developmental maturation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0193	1.0
developmental pigmentation	{'Atp6ap2', 'Myo5a', 'Bcl2l11', 'Cd63', 'Zeb2'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0438	1.0	0.0243
developmental process	{'No common gene'}	1.0	4.9e-05	1.0	1.0	4.82e-15	5.21e-06	5.9e-23	1.55e-09	5.64e-10
developmental process involved in reproduction	{'No common gene'}	1.0	0.0036	1.0	1.0	1.0	1.0	5.2000000000000004e-05	0.0128	0.0034
digestive system development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0065	1.0
digestive tract development	{'Dact1'}	0.0022	1.0	1.0	1.0	1.0	1.0	1.0	0.0098	0.0239
digestive tract morphogenesis	{'n/a (just one condition)'}	0.0019	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
diterpenoid metabolic process	{'n/a (just one condition)'}	0.0481	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
divalent inorganic cation homeostasis	{'Slc11a1', 'Cd38', 'Gpr35'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0056	0.0028	1.0
divalent inorganic cation transport	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00028
divalent metal ion transport	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0125	0.0055	0.00045999999999999996
dorsal aorta development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0213	1.0
dorsal aorta morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0107	1.0
dorsal/ventral pattern formation	{'n/a (just one condition)'}	0.0127	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
drug catabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0015
drug metabolic process	{'No common gene'}	1.0	0.005	1.0	1.0	1.0	1.0	0.0158	1.0	0.0149
drug transport	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	0.0481	0.0365	1.0	0.0301
ear development	{'C1qb', 'Myo7a', 'Mafb'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0311	0.0098	1.0
electron transport chain	{'n/a (just one condition)'}	1.0	2.17e-10	1.0	1.0	1.0	1.0	1.0	1.0	1.0
embryo development	{'Col12a1', 'Col1a1', 'Mmp2', 'Sfrp1'}	0.00016	1.0	1.0	1.0	0.0022	1.0	0.00098	1.0	0.046
embryo development ending in birth or egg hatching	{'Runx1', 'Sfrp1', 'Mmp14', 'Plxnb2', 'Arnt2', 'Heg1', 'Socs3', 'Col1a1', 'Sulf2', 'Sox4'}	1.0	1.0	1.0	1.0	0.0215	1.0	1.0	1.0	0.0066
embryo implantation	{'No common gene'}	1.0	0.0495	1.0	1.0	1.0	0.0227	1.0	0.0105	0.0449
embryonic cranial skeleton morphogenesis	{'No common gene'}	0.0481	1.0	1.0	1.0	1.0	1.0	1.0	0.0394	1.0
embryonic digestive tract development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0157	1.0
embryonic eye morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0415	1.0	1.0	1.0	1.0
embryonic limb morphogenesis	{'No common gene'}	0.0122	1.0	1.0	1.0	1.0	1.0	1.0	0.0347	0.0308
embryonic morphogenesis	{'No common gene'}	0.00011999999999999999	1.0	1.0	1.0	0.00045	0.0354	0.00055	0.0193	0.013999999999999999
embryonic organ development	{'Mmp14', 'Socs3', 'Runx1'}	1.0	1.0	1.0	1.0	0.0285	1.0	0.0316	1.0	1.0
embryonic pattern specification	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0287
embryonic placenta development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0114	1.0	1.0
embryonic placenta morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0143	1.0	1.0
embryonic skeletal system development	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	0.0318	1.0	0.0258	1.0
endocardial cell differentiation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0047	1.0
endocardium formation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0352	1.0
endocardium morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0085	1.0
endochondral bone morphogenesis	{'Thbs1', 'Mmp13', 'Mmp14', 'Col10a1', 'Scx', 'Col1a1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.037000000000000005	1.0	0.0265
endochondral ossification	{'Mmp13', 'Mmp14', 'Col10a1', 'Scx', 'Col1a1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.01	1.0	0.0116
endocytosis	{'No common gene'}	0.00029	0.0346	1.0	1.57e-06	1.74e-08	2.09e-08	1.37e-15	1.36e-07	1.2099999999999995e-21
endoderm development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00047999999999999996	1.0	1.0
endodermal cell differentiation	{'Col12a1', 'Col6a1', 'Mmp2'}	1.0	1.0	1.0	1.0	1.0	0.0475	0.00043	1.0	1.0
endodermal digestive tract morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0457	1.0
endoplasmic reticulum unfolded protein response	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0449
endothelial cell development	{'Icam1', 'Sox18'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.002	0.0382
endothelial cell differentiation	{'Icam1', 'Sox18'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.6399999999999996e-05	0.049
endothelial cell migration	{'Mmrn2'}	0.0132	1.0	1.0	1.0	1.0	1.0	1.0	0.001	0.00018
endothelial cell proliferation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0035
endothelium development	{'Icam1', 'Sox18', 'Dll4', 'Pdgfb'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.96e-06	0.0118
energy coupled proton transmembrane transport, against electrochemical gradient	{'Atp6v0a1', 'Atp6v1c1', 'Atp6v1a', 'Atp6v1b2', 'Atp6v0c', 'Atp6v0d2'}	1.0	1.0	1.0	1.0	1.0	1.0	0.002	1.0	0.00016
enzyme linked receptor protein signaling pathway	{'No common gene'}	0.0071	0.0096	1.0	1.0	2.6700000000000002e-05	0.00053	4.88e-09	0.00064	0.0335
eosinophil chemotaxis	{'Ccl3', 'Ccl2', 'Lgals3', 'Ccl7'}	1.0	1.0	1.0	1.0	1.0	1.0	0.01	1.0	0.0246
ephrin receptor signaling pathway	{'Epha3'}	0.0291	1.0	1.0	1.0	1.0	1.0	1.0	0.0037	1.0
epidermal growth factor receptor signaling pathway	{'Abl2', 'Iqgap1', 'Tgfb1', 'Fes'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0214	1.0	0.0137
epithelial cell apoptotic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0446
epithelial cell development	{'Icam1', 'Sox18', 'Cdkn1a', 'Pdgfb', 'Myo7a', 'Epha2'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00081	0.0349
epithelial cell differentiation	{'Myo7a'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0105	0.0011	0.0081
epithelial cell differentiation involved in kidney development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0112	1.0
epithelial cell fate commitment	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0488	1.0
epithelial cell migration	{'Cxcl13', 'Sox18', 'Itgb2', 'Grem1', 'Ptk2b', 'Adam8', 'Mmrn2', 'Scarb1'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0012	0.0006799999999999999
epithelial cell proliferation	{'No common gene'}	0.0024	0.0445	1.0	1.0	0.0082	1.0	1.0	0.0391	0.0376
epithelial cell-cell adhesion	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0434	1.0
epithelial to mesenchymal transition	{'Tgfbr1', 'Tgfb2', 'Wnt16'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0111	0.0299	1.0
epithelial to mesenchymal transition involved in endocardial cushion formation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0232	1.0
epithelial tube morphogenesis	{'No common gene'}	0.0082	1.0	1.0	1.0	0.0094	1.0	0.0257	0.048	0.0068
epithelium development	{'No common gene'}	0.0035	1.0	1.0	1.0	0.0023	1.0	1.83e-07	0.0027	0.00088
esophagus smooth muscle contraction	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	0.0072	1.0	1.0	1.0
establishment of cell polarity	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0275	1.0
establishment of endothelial barrier	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0068	1.0
establishment of localization	{'No common gene'}	1.0	1.0	1.0	1.0	0.004	1.0	7.32e-15	0.00018999999999999998	7.870000000000002e-23
establishment of localization in cell	{'Ccl3', 'Unc93b1', 'Ncf1', 'Egr2', 'Slc8b1', 'Wdr91', 'P2rx7', 'Actr3', 'Snx8', 'Nsf', 'Tbc1d9', 'Dennd2a', 'Rab7b', 'Myo7a', 'Htr2b', 'Snx1', 'F2r', 'Rftn1', 'Rab8b', 'Lat2', 'Lamp2', 'Bid', 'Gnptab', 'Syk', 'Ehd4', 'Cfl1', 'Actr2', 'Ywhah', 'Tpcn2', 'Folr2', 'Mmp12', 'Snx5', 'Cln8', 'Myo5a', 'Abca1', 'Rab29', 'Arl4c', 'Cd63', 'Milr1', 'Cd300a', 'Micall2', 'Tmed9', 'Ap1s2', 'Fcgr2b', 'Grn', 'Abcg1', 'Steap3', 'Tgfb1', 'Ccr5', 'Erp29', 'Rab11fip5'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0438	1.0	0.0063
establishment of neuroblast polarity	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0344	1.0
establishment of organelle localization	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0191	1.0
